00007ff80b1ca154 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
00007ff80b1c8fa7 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
00007ff80b1ca4b4 (__TEXT,__text) external _BZ2_bzCompress
00007ff80b1ca5fa (__TEXT,__text) external _BZ2_bzCompressEnd
00007ff80b1ca252 (__TEXT,__text) external _BZ2_bzCompressInit
00007ff80b1c9144 (__TEXT,__text) external _BZ2_bzDecompress
00007ff80b1ca0d2 (__TEXT,__text) external _BZ2_bzDecompressEnd
00007ff80b1c9076 (__TEXT,__text) external _BZ2_bzDecompressInit
00007ff80b1d1a5b (__TEXT,__text) external _BZ2_bzRead
00007ff80b1d19d1 (__TEXT,__text) external _BZ2_bzReadClose
00007ff80b1d1ca4 (__TEXT,__text) external _BZ2_bzReadGetUnused
00007ff80b1d1849 (__TEXT,__text) external _BZ2_bzReadOpen
00007ff80b1d147a (__TEXT,__text) external _BZ2_bzWrite
00007ff80b1d15eb (__TEXT,__text) external _BZ2_bzWriteClose
00007ff80b1d160c (__TEXT,__text) external _BZ2_bzWriteClose64
00007ff80b1d1327 (__TEXT,__text) external _BZ2_bzWriteOpen
00007ff80b1d1fd1 (__TEXT,__text) external _BZ2_bzclose
00007ff80b1d1f3f (__TEXT,__text) external _BZ2_bzdopen
00007ff80b1d2075 (__TEXT,__text) external _BZ2_bzerror
00007ff80b1d1fc9 (__TEXT,__text) external _BZ2_bzflush
00007ff80b1d0ef5 (__TEXT,__text) external _BZ2_bzlibVersion
00007ff80b1d1d26 (__TEXT,__text) external _BZ2_bzopen
00007ff80b1d1f55 (__TEXT,__text) external _BZ2_bzread
00007ff80b1d1f93 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
