00007ffb4390aaa0 (__DATA,__common) external _AfterColour
00007ffb4390c9d0 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb4390dff0 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb43905bc0 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb4390a9a0 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb43906920 (__DATA,__common) external _CheapRematWeight
00007ffb4390aba0 (__DATA,__common) external _CommonColour
00007ffb43906680 (__DATA,__common) external _CopyWeight
00007ffb4390a310 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb4390c900 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb439096c0 (__DATA,__common) external _EnableLTOInternalization
00007ffb4390de40 (__DATA,__common) external _EnableVPlanNativePath
00007ffb4390dd70 (__DATA,__common) external _EnableVPlanPredication
00007ffb439065a0 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb43906a00 (__DATA,__common) external _ExpensiveRematWeight
00007ffb4272c380 (__DATA_DIRTY,__common) external _FSEC
00007ffb4390bbe0 (__DATA,__common) external _ForceFusion
00007ffb43905630 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb4390ba40 (__DATA,__common) external _FuseMatrix
00007ffb4390b360 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb43904d30 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb18efe15a (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb18efe0ee (__TEXT,__text) external _LLVMABISizeOfType
00007ffb183c31b8 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb183c31c3 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb19098e84 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
