00007ffa16cf5ac0 (__TEXT,__text) external _ARMCompilationCallback
00007ffa16cf5ad0 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa17401900 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa174019e0 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa17401810 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa17401b70 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa17401eb0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa174022b0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa174020d0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa174020c0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa42e820d8 (__DATA,__common) external _EnableARMEHABI
00007ffa42e81e18 (__DATA,__common) external _EnableARMLongCalls
00007ffa42e81ba0 (__DATA,__common) external _ForceStackAlign
00007ffa1720aee0 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa1720ae90 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa170666a0 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1723e840 (__TEXT,__text) external _LLVMAddAlias
00007ffa16a0f990 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1720e430 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa16a0f8a0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1723eef0 (__TEXT,__text) external _LLVMAddAttribute
00007ffa16a39fd0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa17066c90 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa170666d0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa172403d0 (__TEXT,__text) external _LLVMAddCase
00007ffa172403f0 (__TEXT,__text) external _LLVMAddClause
00007ffa16a0f8d0 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa17066b70 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa17066c00 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa16a0f900 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa17066700 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa17066ba0 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa172403e0 (__TEXT,__text) external _LLVMAddDestination
00007ffa17066c30 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa1723e8b0 (__TEXT,__text) external _LLVMAddFunction
00007ffa1723ea70 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa16a0f930 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa16a0f960 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa17066760 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa1723e530 (__TEXT,__text) external _LLVMAddGlobal
00007ffa16a0f9c0 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1723e5b0 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa16ab6e70 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa16a0f9f0 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa16a0fa20 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa16a0fa80 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa1723f830 (__TEXT,__text) external _LLVMAddIncoming
00007ffa17066790 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa1723f5a0 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa170667c0 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa16a0fab0 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa170667f0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa17066820 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa17066850 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa17066880 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa170668e0 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa170668b0 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa17066910 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa17066950 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
