0000000233809948 (__TEXT,__const) external _HomeAutomationUIFrameworkVersionNumber
0000000233809900 (__TEXT,__const) external _HomeAutomationUIFrameworkVersionString
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupRunSiriKitExecutor (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337c9c4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337d98cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337f1858 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337f6d14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8aa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8ab8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8ab8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8af8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337bc1f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337c202c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337c202c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337c204c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337c9c4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337d98e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337e9c68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337ecdcc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000002337b8af8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337bc278 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337c2040 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337c204c (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337c2080 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337c50b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000002337c9cec (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
