00000001ebf7b8d0 (__DATA,__data) external _NDR_record
000000018044faa8 (__TEXT,__text) non-external __Xexception_raise
000000018044f990 (__TEXT,__text) non-external __Xexception_raise_state
000000018044f830 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018043d898 (__TEXT,__text) external _____sigwait_nocancel
0000000180464d18 (__TEXT,__const) external ____kernelVersionNumber
0000000180464ce0 (__TEXT,__const) external ____kernelVersionString
000000018043d8c4 (__TEXT,__text) external ___abort_with_payload
0000000180439464 (__TEXT,__text) external ___accept
000000018043d8f0 (__TEXT,__text) external ___accept_nocancel
000000018043d91c (__TEXT,__text) external ___access_extended
000000018043d948 (__TEXT,__text) external ___aio_suspend_nocancel
00000001804388c8 (__TEXT,__text) external ___bind
0000000180434990 (__TEXT,__text) external ___bsdthread_create
0000000180432958 (__TEXT,__text) external ___bsdthread_ctl
0000000180436a64 (__TEXT,__text) external ___bsdthread_register
0000000180433a34 (__TEXT,__text) external ___bsdthread_terminate
000000018043d0d8 (__TEXT,__text) external ___carbon_delete
000000018043d974 (__TEXT,__text) external ___channel_get_info
000000018043d9a0 (__TEXT,__text) external ___channel_get_opt
000000018043d9cc (__TEXT,__text) external ___channel_open
000000018043d9f8 (__TEXT,__text) external ___channel_set_opt
000000018043da24 (__TEXT,__text) external ___channel_sync
00000001804348d8 (__TEXT,__text) external ___chmod
00000001804364fc (__TEXT,__text) external ___chmod_extended
000000018043243c (__TEXT,__text) external ___close_nocancel
000000018043da50 (__TEXT,__text) external ___coalition
000000018043da7c (__TEXT,__text) external ___coalition_info
000000018043daa8 (__TEXT,__text) external ___coalition_ledger
0000000180432ab0 (__TEXT,__text) external ___commpage_gettimeofday
0000000180432ab8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001804350f8 (__TEXT,__text) external ___connect
0000000180434f60 (__TEXT,__text) external ___connect_nocancel
000000018043dad4 (__TEXT,__text) external ___copyfile
000000018043db00 (__TEXT,__text) external ___crossarch_trap
00000001804316cc (__TEXT,__text) external ___csrctl
00000001804478f8 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018043db2c (__TEXT,__text) external ___debug_syscall_reject
000000018043db58 (__TEXT,__text) external ___debug_syscall_reject_config
000000018043d104 (__TEXT,__text) external ___delete
0000000180433a08 (__TEXT,__text) external ___disable_threadsignal
00000001804315fc (__TEXT,__text) external ___error
000000018043db84 (__TEXT,__text) external ___execve
0000000180438308 (__TEXT,__text) external ___exit
00000001804353b4 (__TEXT,__text) external ___fchmod
000000018043660c (__TEXT,__text) external ___fchmod_extended
000000018043177c (__TEXT,__text) external ___fcntl
0000000180434f08 (__TEXT,__text) external ___fcntl_nocancel
0000000180438684 (__TEXT,__text) external ___fork
000000018043dbb0 (__TEXT,__text) external ___fs_snapshot
000000018043f010 (__TEXT,__text) external ___fstat
00000001804365e0 (__TEXT,__text) external ___fstat64_extended
000000018043dbdc (__TEXT,__text) external ___fstat_extended
000000018043f068 (__TEXT,__text) external ___fstatat
000000018043f0c0 (__TEXT,__text) external ___fstatfs
000000018043dc08 (__TEXT,__text) external ___fsync_nocancel
000000018043a244 (__TEXT,__text) external ___get_remove_counter
0000000180431618 (__TEXT,__text) external ___getattrlist
000000018043287c (__TEXT,__text) external ___getdirentries64
000000018043f1c8 (__TEXT,__text) external ___getfsstat
00000001804364a4 (__TEXT,__text) external ___gethostuuid
000000018043ca80 (__TEXT,__text) external ___getlogin
000000018043528c (__TEXT,__text) external ___getpeername
000000018043115c (__TEXT,__text) external ___getpid
0000000180432f80 (__TEXT,__text) external ___getrlimit
000000018043dc34 (__TEXT,__text) external ___getsgroups
0000000180438790 (__TEXT,__text) external ___getsockname
000000018043273c (__TEXT,__text) external ___gettid
0000000180434a14 (__TEXT,__text) external ___gettimeofday
00000001804349e8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018043dc60 (__TEXT,__text) external ___getwgroups
000000018043dc8c (__TEXT,__text) external ___guarded_open_dprotected_np
000000018043444c (__TEXT,__text) external ___guarded_open_np
000000018043dcb8 (__TEXT,__text) external ___identitysvc
0000000180434770 (__TEXT,__text) external ___inc_remove_counter
000000018043ca54 (__TEXT,__text) external ___initgroups
00000001804350cc (__TEXT,__text) external ___ioctl
000000018043543c (__TEXT,__text) external ___iopolicysys
000000018043dce4 (__TEXT,__text) external ___kdebug_trace
00000001804337cc (__TEXT,__text) external ___kdebug_trace64
000000018043dd10 (__TEXT,__text) external ___kdebug_trace_string
0000000180436780 (__TEXT,__text) external ___kdebug_typefilter
0000000180464d88 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180464d50 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180438d9c (__TEXT,__text) external ___kill
0000000180437188 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001804366bc (__TEXT,__text) external ___lchown
00000001804367ac (__TEXT,__text) external ___libkernel_init
0000000180440414 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180440314 (__TEXT,__text) external ___libkernel_init_late
0000000180436a50 (__TEXT,__text) external ___libkernel_platform_init
000000018043114c (__TEXT,__text) external ___libkernel_voucher_init
0000000180439438 (__TEXT,__text) external ___listen
000000018043dd3c (__TEXT,__text) external ___log_data
00000001804324dc (__TEXT,__text) external ___lseek
000000018043f3ac (__TEXT,__text) external ___lstat
0000000180436528 (__TEXT,__text) external ___lstat64_extended
000000018043dd68 (__TEXT,__text) external ___lstat_extended
000000018043dd94 (__TEXT,__text) external ___mac_execve
000000018043ddc0 (__TEXT,__text) external ___mac_get_fd
000000018043ddec (__TEXT,__text) external ___mac_get_file
000000018043de18 (__TEXT,__text) external ___mac_get_link
000000018043de44 (__TEXT,__text) external ___mac_get_mount
000000018043de70 (__TEXT,__text) external ___mac_get_pid
000000018043de9c (__TEXT,__text) external ___mac_get_proc
000000018043dec8 (__TEXT,__text) external ___mac_getfsstat
000000018043def4 (__TEXT,__text) external ___mac_mount
000000018043df20 (__TEXT,__text) external ___mac_set_fd
000000018043df4c (__TEXT,__text) external ___mac_set_file
000000018043df78 (__TEXT,__text) external ___mac_set_link
00000001804393d8 (__TEXT,__text) external ___mac_set_proc
00000001804325e8 (__TEXT,__text) external ___mac_syscall
000000018043dfa4 (__TEXT,__text) external ___mach_bridge_remote_time
000000018043dfd0 (__TEXT,__text) external ___mach_eventlink_signal
000000018043dffc (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018043e028 (__TEXT,__text) external ___mach_eventlink_wait_until
000000018043e054 (__TEXT,__text) external ___map_with_linking_np
000000018043e080 (__TEXT,__text) external ___memorystatus_available_memory
000000018043e0ac (__TEXT,__text) external ___microstackshot
000000018043e0d8 (__TEXT,__text) external ___mkdir_extended
000000018043e104 (__TEXT,__text) external ___mkfifo_extended
00000001804318d0 (__TEXT,__text) external ___mmap
00000001804349bc (__TEXT,__text) external ___mprotect
000000018043e130 (__TEXT,__text) external ___msgctl
000000018043e15c (__TEXT,__text) external ___msgrcv_nocancel
000000018043e188 (__TEXT,__text) external ___msgsnd_nocancel
000000018043e1b4 (__TEXT,__text) external ___msgsys
00000001804370f8 (__TEXT,__text) external ___msync
000000018043e1e0 (__TEXT,__text) external ___msync_nocancel
00000001804345e0 (__TEXT,__text) external ___munmap
000000018043e20c (__TEXT,__text) external ___nexus_create
000000018043e238 (__TEXT,__text) external ___nexus_deregister
000000018043e264 (__TEXT,__text) external ___nexus_destroy
000000018043e290 (__TEXT,__text) external ___nexus_get_opt
000000018043e2bc (__TEXT,__text) external ___nexus_open
000000018043e2e8 (__TEXT,__text) external ___nexus_register
000000018043e314 (__TEXT,__text) external ___nexus_set_opt
0000000180431670 (__TEXT,__text) external ___open
00000001804365b4 (__TEXT,__text) external ___open_dprotected_np
000000018043d080 (__TEXT,__text) external ___open_extended
0000000180431800 (__TEXT,__text) external ___open_nocancel
0000000180432468 (__TEXT,__text) external ___openat
000000018043e340 (__TEXT,__text) external ___openat_dprotected_np
0000000180436714 (__TEXT,__text) external ___openat_nocancel
00000001ebf7b938 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000018044cb60 (__TEXT,__text) external ___os_nexus_flow_add
000000018044cbe8 (__TEXT,__text) external ___os_nexus_flow_del
000000018044cd38 (__TEXT,__text) external ___os_nexus_get_llink_info
000000018044c980 (__TEXT,__text) external ___os_nexus_ifattach
000000018044caa0 (__TEXT,__text) external ___os_nexus_ifdetach
000000018043e36c (__TEXT,__text) external ___oslog_coproc
000000018043e398 (__TEXT,__text) external ___oslog_coproc_reg
0000000180434b0c (__TEXT,__text) external ___persona
0000000180437124 (__TEXT,__text) external ___pipe
000000018043e3c4 (__TEXT,__text) external ___poll_nocancel
0000000180437e3c (__TEXT,__text) external ___posix_spawn
000000018043e3f0 (__TEXT,__text) external ___pread_nocancel
000000018043e41c (__TEXT,__text) external ___preadv_nocancel
0000000180431fc8 (__TEXT,__text) external ___proc_info
000000018043e448 (__TEXT,__text) external ___proc_info_extended_id
0000000180438808 (__TEXT,__text) external ___process_policy
0000000180436e88 (__TEXT,__text) external ___pselect
000000018043e474 (__TEXT,__text) external ___pselect_nocancel
00000001804343f0 (__TEXT,__text) external ___psynch_cvbroad
0000000180434a70 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180435818 (__TEXT,__text) external ___psynch_cvsignal
00000001804343c4 (__TEXT,__text) external ___psynch_cvwait
0000000180433a60 (__TEXT,__text) external ___psynch_mutexdrop
0000000180433894 (__TEXT,__text) external ___psynch_mutexwait
000000018043e4a0 (__TEXT,__text) external ___psynch_rw_downgrade
000000018043e4cc (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180436034 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180436008 (__TEXT,__text) external ___psynch_rw_unlock
000000018043e4f8 (__TEXT,__text) external ___psynch_rw_unlock2
000000018043e524 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180435fdc (__TEXT,__text) external ___psynch_rw_wrlock
000000018043e550 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000018043cd64 (__TEXT,__text) external ___pthread_canceled
0000000180437bcc (__TEXT,__text) external ___pthread_chdir
0000000180437ba0 (__TEXT,__text) external ___pthread_fchdir
0000000180439380 (__TEXT,__text) external ___pthread_kill
000000018043e57c (__TEXT,__text) external ___pthread_markcancel
0000000180438278 (__TEXT,__text) external ___pthread_sigmask
000000018043980c (__TEXT,__text) external ___ptrace
000000018043e5a8 (__TEXT,__text) external ___pwrite_nocancel
000000018043e5d4 (__TEXT,__text) external ___pwritev_nocancel
0000000180432b64 (__TEXT,__text) external ___read_nocancel
000000018043e600 (__TEXT,__text) external ___readv_nocancel
000000018043e62c (__TEXT,__text) external ___reboot
000000018043e658 (__TEXT,__text) external ___record_system_event
0000000180435150 (__TEXT,__text) external ___recvfrom
0000000180435018 (__TEXT,__text) external ___recvfrom_nocancel
0000000180435580 (__TEXT,__text) external ___recvmsg
000000018043e684 (__TEXT,__text) external ___recvmsg_nocancel
00000001ee58c560 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000180434744 (__TEXT,__text) external ___rename
000000018043e6b0 (__TEXT,__text) external ___renameat
000000018043e6dc (__TEXT,__text) external ___renameatx_np
00000001804347b0 (__TEXT,__text) external ___rmdir
000000018043dd94 (__TEXT,__text) external ___sandbox_me
000000018043def4 (__TEXT,__text) external ___sandbox_mm
00000001804325e8 (__TEXT,__text) external ___sandbox_ms
00000001804393d8 (__TEXT,__text) external ___sandbox_msp
000000018043bc24 (__TEXT,__text) external ___select
0000000180434fec (__TEXT,__text) external ___select_nocancel
000000018043a4d0 (__TEXT,__text) external ___sem_open
000000018043e708 (__TEXT,__text) external ___sem_wait_nocancel
000000018043e734 (__TEXT,__text) external ___semctl
000000018043e760 (__TEXT,__text) external ___semsys
00000001804341c0 (__TEXT,__text) external ___semwait_signal
00000001804382a4 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180436740 (__TEXT,__text) external ___sendmsg
0000000180435070 (__TEXT,__text) external ___sendmsg_nocancel
0000000180435124 (__TEXT,__text) external ___sendto
0000000180434f8c (__TEXT,__text) external ___sendto_nocancel
0000000180434340 (__TEXT,__text) external ___setattrlist
000000018043ca28 (__TEXT,__text) external ___setlogin
0000000180438eb0 (__TEXT,__text) external ___setpriority
000000018043e78c (__TEXT,__text) external ___setregid
000000018043e7b8 (__TEXT,__text) external ___setreuid
00000001804338c8 (__TEXT,__text) external ___setrlimit
000000018043e7e4 (__TEXT,__text) external ___setsgroups
000000018043a258 (__TEXT,__text) external ___settid
000000018043e810 (__TEXT,__text) external ___settid_with_pid
000000018043e83c (__TEXT,__text) external ___settimeofday
000000018043e868 (__TEXT,__text) external ___setwgroups
000000018043a568 (__TEXT,__text) external ___sfi_ctl
000000018043e894 (__TEXT,__text) external ___sfi_pidctl
000000018043e8c0 (__TEXT,__text) external ___shared_region_check_np
000000018043e8ec (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180432410 (__TEXT,__text) external ___shm_open
000000018043e918 (__TEXT,__text) external ___shmctl
000000018043e944 (__TEXT,__text) external ___shmsys
00000001804371b4 (__TEXT,__text) external ___sigaction
00000001804342bc (__TEXT,__text) external ___sigaltstack
000000018043c55c (__TEXT,__text) external ___sigreturn
000000018043e970 (__TEXT,__text) external ___sigsuspend
00000001804382dc (__TEXT,__text) external ___sigsuspend_nocancel
000000018043c5b4 (__TEXT,__text) external ___sigwait
0000000180435044 (__TEXT,__text) external ___socketpair
000000018043e99c (__TEXT,__text) external ___stack_snapshot_with_config
000000018043fdfc (__TEXT,__text) external ___stat
00000001804364d0 (__TEXT,__text) external ___stat64_extended
000000018043e9c8 (__TEXT,__text) external ___stat_extended
000000018043fe28 (__TEXT,__text) external ___statfs
0000000180445ef4 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180432fd8 (__TEXT,__text) external ___syscall
00000001ebf7b908 (__DATA,__common) external ___syscall_logger
0000000180432318 (__TEXT,__text) external ___sysctl
0000000180432544 (__TEXT,__text) external ___sysctlbyname
000000018043e9f4 (__TEXT,__text) external ___telemetry
000000018043b3a4 (__TEXT,__text) external ___terminate_with_payload
0000000180432984 (__TEXT,__text) external ___thread_selfid
000000018043ea20 (__TEXT,__text) external ___thread_selfusage
00000001804329b0 (__TEXT,__text) external ___ulock_wait
000000018043ea4c (__TEXT,__text) external ___ulock_wait2
0000000180432a84 (__TEXT,__text) external ___ulock_wake
000000018043ea78 (__TEXT,__text) external ___umask_extended
0000000180434b64 (__TEXT,__text) external ___unlink
000000018043a898 (__TEXT,__text) external ___unlinkat
000000018043eaa4 (__TEXT,__text) external ___vfork
00000001804381fc (__TEXT,__text) external ___wait4
000000018043d054 (__TEXT,__text) external ___wait4_nocancel
000000018043eb14 (__TEXT,__text) external ___waitid_nocancel
00000001804399f4 (__TEXT,__text) external ___work_interval_ctl
00000001804328a8 (__TEXT,__text) external ___workq_kernreturn
00000001804328d4 (__TEXT,__text) external ___workq_open
0000000180434a9c (__TEXT,__text) external ___write_nocancel
000000018043eb40 (__TEXT,__text) external ___writev_nocancel
00000001ebf7b8fc (__DATA,__common) external __cpu_capabilities
00000001ebf7b900 (__DATA,__common) external __cpu_has_altivec
00000001ee58c518 (__DATA_DIRTY,__data) external __current_pid
00000001ee58c538 (__DATA_DIRTY,__bss) non-external __dlsym
0000000180430ce0 (__TEXT,__text) external __exclaves_ctl_trap
0000000180441134 (__TEXT,__text) non-external __execve_with_filter
0000000180438308 (__TEXT,__text) external __exit
0000000180436a14 (__TEXT,__text) external __get_cpu_capabilities
00000001ebf7b920 (__DATA,__bss) non-external __gethostuuid_callback
0000000180445348 (__TEXT,__text) external __getprivatesystemidentifier
0000000180452370 (__TEXT,__text) external __host_page_size
0000000180436a10 (__TEXT,__text) external __init_cpu_capabilities
0000000180453514 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804548a4 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018045554c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180454788 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804553dc (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180430ad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804570bc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804561a8 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180430b24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180454b14 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180430adc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804549f8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180456314 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180430b30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180455b3c (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180455f20 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180430b18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000018043add0 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000018043b7ec (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180430bd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001804360cc (__TEXT,__text) external __kernelrpc_mach_port_get_context
