00007ff80b3b57fc (__TEXT,__text) non-external _Annihilate
00007ff80b3f8351 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b3f8bfb (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b3f6e59 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b3b55f1 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b3d1280 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b3a5784 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b3b58d8 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b3a5bc2 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b3f52f6 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b3f5ca5 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b3a5eb8 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b3bceac (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b3c8cc8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b3c9ac1 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b3c7ecf (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b3c8299 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b3c9092 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b3c74a0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b3aeeb8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b3b0838 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b3b2044 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b3b3850 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
