0000000180482f3c (__TEXT,__text) external _OSAtomicAdd32
0000000180482ffc (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804830f8 (__TEXT,__text) external _OSAtomicAdd64
0000000180483270 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180483200 (__TEXT,__text) external _OSAtomicAnd32
0000000180483c84 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180483bf8 (__TEXT,__text) external _OSAtomicAnd32Orig
000000018048311c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180482f28 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180482fbc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180481fc0 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180482fa8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804831b8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804832a0 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804831d8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180483128 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804831ec (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180482fd0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180482500 (__TEXT,__text) external _OSAtomicDecrement32
0000000180483070 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180483260 (__TEXT,__text) external _OSAtomicDecrement64
0000000180483210 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804806f0 (__TEXT,__text) external _OSAtomicDequeue
00000001804809d0 (__TEXT,__text) external _OSAtomicEnqueue
0000000180484bb4 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180485fdc (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180484b48 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180485fdc (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804824f0 (__TEXT,__text) external _OSAtomicIncrement32
0000000180483060 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180482dbc (__TEXT,__text) external _OSAtomicIncrement64
00000001804831a8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804831cc (__TEXT,__text) external _OSAtomicOr32
0000000180482fe4 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180483298 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804853f4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180483220 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180483c44 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180483c04 (__TEXT,__text) external _OSAtomicTestAndSet
000000018048313c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804853fc (__TEXT,__text) external _OSAtomicXor32
0000000180482ff0 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180485408 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180485410 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180482fa0 (__TEXT,__text) external _OSMemoryBarrier
0000000180482d98 (__TEXT,__text) external _OSSpinLockLock
0000000180483104 (__TEXT,__text) external _OSSpinLockTry
0000000180482db4 (__TEXT,__text) external _OSSpinLockUnlock
0000000180486620 (__TEXT,__const) non-external _UUID_NULL
0000000180486630 (__TEXT,__const) non-external __0x
000000018048672d (__TEXT,__cstring) non-external __H
0000000180485440 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180485418 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180483080 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180484d28 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180482700 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001e9d3d878 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180482510 (__TEXT,__text) external ___libplatform_init
0000000180483cb8 (__TEXT,__text) external ___os_log_simple_offset
00000001804850a0 (__TEXT,__text) external ___os_once_reset
0000000180482560 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180486610 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804865d8 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180482098 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804832d0 (__TEXT,__text) non-external ___simple_bprintf
00000001804854f0 (__TEXT,__text) external ___sme_memchr
00000001804855c0 (__TEXT,__text) external ___sme_memcpy
00000001804856a4 (__TEXT,__text) external ___sme_memmove
0000000180485a78 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180485bd0 (__TEXT,__text) external __ctx_done
0000000180485eb4 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804845cc (__TEXT,__text) non-external __enlarge
0000000180485fb4 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180484524 (__TEXT,__text) non-external __flush
000000018048449c (__TEXT,__text) non-external __flush_reset
000000018048673e (__TEXT,__cstring) non-external __h
0000000180480e9c (__TEXT,__text) external __longjmp
00000001804803a4 (__TEXT,__text) non-external __os_alloc
00000001804861e8 (__TEXT,__text) non-external __os_alloc.cold.1
00000001e9d3d870 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180480358 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804828dc (__TEXT,__text) non-external __os_alloc_slow
0000000180486004 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180482e28 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180482e64 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180483188 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180482e58 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
000000018048503c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180485060 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180485080 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180486150 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180482f74 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180484e0c (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180482f94 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180486638 (__TEXT,__const) non-external __os_lock_type_base
00000001eac6f2f0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001eac6f310 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001eac6f350 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001eac6f2f0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001eac6f2f0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001eac6f330 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180482f48 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180484ffc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
000000018048501c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180483f4c (__TEXT,__text) external __os_log_simple
0000000180484144 (__TEXT,__text) external __os_log_simple_parse
0000000180484114 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804840a8 (__TEXT,__text) external __os_log_simple_parse_message
000000018048406c (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804840d8 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000180484034 (__TEXT,__text) external __os_log_simple_parse_type
0000000180484280 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180485f8c (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000180483dd4 (__TEXT,__text) external __os_log_simple_send
000000018048400c (__TEXT,__text) external __os_log_simple_shim
0000000180480d64 (__TEXT,__text) external __os_nospin_lock_lock
0000000180482344 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180480da0 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180480d84 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180482440 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804801e0 (__TEXT,__text) external __os_once
0000000180480240 (__TEXT,__text) non-external __os_once_callout
0000000180482298 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180486128 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804860d8 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180486100 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180482108 (__TEXT,__text) non-external __os_once_gate_wait
0000000180482018 (__TEXT,__text) external __os_semaphore_create
0000000180486210 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180486238 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180482068 (__TEXT,__text) external __os_semaphore_dispose
0000000180486260 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180483008 (__TEXT,__text) external __os_semaphore_signal
0000000180486288 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180483028 (__TEXT,__text) external __os_semaphore_wait
00000001804862b0 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
000000018048607c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180480a18 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018048602c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180484e4c (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180480b8c (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180486054 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180482700 (__TEXT,__text) external __platform_bzero
0000000180485468 (__TEXT,__text) external __platform_memccpy
00000001804804c0 (__TEXT,__text) external __platform_memchr
00000001804805d0 (__TEXT,__text) external __platform_memcmp
00000001804859c0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180482a30 (__TEXT,__text) external __platform_memmove
0000000180482760 (__TEXT,__text) external __platform_memset
0000000180480820 (__TEXT,__text) external __platform_memset_pattern16
00000001804807e0 (__TEXT,__text) external __platform_memset_pattern4
0000000180480800 (__TEXT,__text) external __platform_memset_pattern8
0000000180482d20 (__TEXT,__text) external __platform_strchr
0000000180480020 (__TEXT,__text) external __platform_strcmp
00000001804857b0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
000000018048045c (__TEXT,__text) external __platform_strcpy
00000001eac6f268 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180480f88 (__TEXT,__text) external __platform_strlcat
000000018048074c (__TEXT,__text) external __platform_strlcpy
0000000180480180 (__TEXT,__text) external __platform_strlen
00000001804800a0 (__TEXT,__text) external __platform_strncmp
00000001804858b0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180480cc0 (__TEXT,__text) external __platform_strncpy
00000001804800e0 (__TEXT,__text) external __platform_strnlen
0000000180480c38 (__TEXT,__text) external __platform_strstr
0000000180485e20 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180480e3c (__TEXT,__text) external __setjmp
0000000180482dcc (__TEXT,__text) non-external (was a private external) __sigtramp
000000018048327c (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804842f8 (__TEXT,__text) non-external __simple_asl_connect
0000000180481d88 (__TEXT,__text) non-external __simple_asl_connect_once
0000000180481a50 (__TEXT,__text) non-external __simple_asl_escape_key
0000000180481ac4 (__TEXT,__text) non-external __simple_asl_escape_val
00000001804843a8 (__TEXT,__text) external __simple_asl_get_fd
