00007ff843adf990 (__DATA,__data) external _NDR_record
00007ff801ea9fb6 (__TEXT,__text) non-external __Xexception_raise
00007ff801eaa05e (__TEXT,__text) non-external __Xexception_raise_state
00007ff801eaa168 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff801e9b160 (__TEXT,__text) external _____sigwait_nocancel
00007ff801ebb0e8 (__TEXT,__const) external ____kernelVersionNumber
00007ff801ebb0b0 (__TEXT,__const) external ____kernelVersionString
00007ff801e9b178 (__TEXT,__text) external ___abort_with_payload
00007ff801e978d0 (__TEXT,__text) external ___accept
00007ff801e9b190 (__TEXT,__text) external ___accept_nocancel
00007ff801e9b1a8 (__TEXT,__text) external ___access_extended
00007ff801e9b1c0 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff801e96db0 (__TEXT,__text) external ___bind
00007ff801e93b3c (__TEXT,__text) external ___bsdthread_create
00007ff801e922dc (__TEXT,__text) external ___bsdthread_ctl
00007ff801e95628 (__TEXT,__text) external ___bsdthread_register
00007ff801e92f88 (__TEXT,__text) external ___bsdthread_terminate
00007ff801e9c71e (__TEXT,__text) non-external ___bzero
00007ff801e9ab17 (__TEXT,__text) external ___carbon_delete
00007ff801e9b1d8 (__TEXT,__text) external ___channel_get_info
00007ff801e9b1f0 (__TEXT,__text) external ___channel_get_opt
00007ff801e9b208 (__TEXT,__text) external ___channel_open
00007ff801e9b220 (__TEXT,__text) external ___channel_set_opt
00007ff801e9b238 (__TEXT,__text) external ___channel_sync
00007ff801e93acc (__TEXT,__text) external ___chmod
00007ff801e951a8 (__TEXT,__text) external ___chmod_extended
00007ff801e91f90 (__TEXT,__text) external ___close_nocancel
00007ff801e9b250 (__TEXT,__text) external ___coalition
00007ff801e9b268 (__TEXT,__text) external ___coalition_info
00007ff801e9b280 (__TEXT,__text) external ___coalition_ledger
00007ff801e923a8 (__TEXT,__text) external ___commpage_gettimeofday
00007ff801e923af (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff801e94220 (__TEXT,__text) external ___connect
00007ff801e940a8 (__TEXT,__text) external ___connect_nocancel
00007ff801e9b298 (__TEXT,__text) external ___copyfile
00007ff801e9b2b0 (__TEXT,__text) external ___crossarch_trap
00007ff801e9135c (__TEXT,__text) external ___csrctl
00007ff801ea3533 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff801e9b2c8 (__TEXT,__text) external ___debug_syscall_reject
00007ff801e9b2e0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff801e9ab30 (__TEXT,__text) external ___delete
00007ff801e92f70 (__TEXT,__text) external ___disable_threadsignal
00007ff801e912c2 (__TEXT,__text) external ___error
00007ff801e9b2f8 (__TEXT,__text) external ___execve
00007ff801e96928 (__TEXT,__text) external ___exit
00007ff801e94428 (__TEXT,__text) external ___fchmod
00007ff801e952dc (__TEXT,__text) external ___fchmod_extended
00007ff801e91578 (__TEXT,__text) external ___fcntl
00007ff801e94078 (__TEXT,__text) external ___fcntl_nocancel
00007ff801e96c14 (__TEXT,__text) external ___fork
00007ff801e9b310 (__TEXT,__text) external ___fs_snapshot
00007ff801e952c4 (__TEXT,__text) external ___fstat64_extended
00007ff801e9b328 (__TEXT,__text) external ___fstat_extended
00007ff801e9b340 (__TEXT,__text) external ___fsync_nocancel
00007ff801e98466 (__TEXT,__text) external ___get_remove_counter
00007ff801e912dc (__TEXT,__text) external ___getattrlist
00007ff801e92264 (__TEXT,__text) external ___getdirentries64
00007ff801e95178 (__TEXT,__text) external ___gethostuuid
00007ff801e9a60c (__TEXT,__text) external ___getlogin
00007ff801e94324 (__TEXT,__text) external ___getpeername
00007ff801e90f1c (__TEXT,__text) external ___getpid
00007ff801e92780 (__TEXT,__text) external ___getrlimit
00007ff801e9b358 (__TEXT,__text) external ___getsgroups
00007ff801e96cb8 (__TEXT,__text) external ___getsockname
00007ff801e92170 (__TEXT,__text) external ___gettid
00007ff801e93b81 (__TEXT,__text) external ___gettimeofday
00007ff801e93b6c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff801e9b370 (__TEXT,__text) external ___getwgroups
00007ff801e9b388 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff801e937c4 (__TEXT,__text) external ___guarded_open_np
00007ff801e9b3a0 (__TEXT,__text) external ___identitysvc
00007ff801e939a1 (__TEXT,__text) external ___inc_remove_counter
00007ff801e9a5f4 (__TEXT,__text) external ___initgroups
00007ff801e94208 (__TEXT,__text) external ___ioctl
00007ff801e9448c (__TEXT,__text) external ___iopolicysys
00007ff801e9b3b8 (__TEXT,__text) external ___kdebug_trace
00007ff801e92df8 (__TEXT,__text) external ___kdebug_trace64
00007ff801e9b3d0 (__TEXT,__text) external ___kdebug_trace_string
00007ff801e953ac (__TEXT,__text) external ___kdebug_typefilter
00007ff801ebb158 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff801ebb120 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff801e9736c (__TEXT,__text) external ___kill
00007ff801e95b54 (__TEXT,__text) external ___kqueue_workloop_ctl
