                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80d0606ed (__TEXT,__text) non-external _au_assemble
00007ff80d061b69 (__TEXT,__text) external _au_bsm_to_domain
00007ff80d06cf04 (__TEXT,__text) external _au_bsm_to_errno
00007ff80d06cfb2 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80d069433 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80d060944 (__TEXT,__text) external _au_close
00007ff80d0609f5 (__TEXT,__text) external _au_close_buffer
00007ff80d060ab5 (__TEXT,__text) external _au_close_token
00007ff80d060622 (__TEXT,__text) external _au_close_with_errors
00007ff84238da84 (__DATA,__bss) non-external _au_cond
00007ff80d061b3e (__TEXT,__text) external _au_domain_to_bsm
00007ff80d06ced6 (__TEXT,__text) external _au_errno_to_bsm
00007ff80d06cf87 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80d0600ab (__TEXT,__text) external _au_fetch_tok
00007ff80d060439 (__TEXT,__text) external _au_free_token
00007ff80d069332 (__TEXT,__text) external _au_get_state
00007ff80d069292 (__TEXT,__text) external _au_notify_initialize
00007ff80d069319 (__TEXT,__text) external _au_notify_terminate
00007ff80d060463 (__TEXT,__text) external _au_open
00007ff84238c690 (__DATA,__const) non-external _au_polstr
00007ff80d060f28 (__TEXT,__text) external _au_poltostr
00007ff80d0690ad (__TEXT,__text) external _au_preselect
00007ff80d063f08 (__TEXT,__text) external _au_print_flags_tok
00007ff80d068340 (__TEXT,__text) external _au_print_tok
00007ff80d06835a (__TEXT,__text) external _au_print_tok_xml
00007ff80d062459 (__TEXT,__text) external _au_print_xml_footer
00007ff80d062418 (__TEXT,__text) external _au_print_xml_header
00007ff80d06837a (__TEXT,__text) external _au_read_rec
00007ff80d06ce96 (__TEXT,__text) external _au_sdev_close
00007ff80d06cec9 (__TEXT,__text) external _au_sdev_fd
00007ff80d05fc8f (__TEXT,__text) external _au_sdev_open
00007ff80d05fd63 (__TEXT,__text) external _au_sdev_read_aia
00007ff84238c780 (__DATA,__const) non-external _au_sflagsstr
00007ff80d061091 (__TEXT,__text) external _au_sflagstostr
00007ff80d069408 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80d06160a (__TEXT,__text) non-external _au_spacetobytes
00007ff80d06cf43 (__TEXT,__text) external _au_strerror
00007ff80d060fcb (__TEXT,__text) external _au_strtopol
00007ff80d061131 (__TEXT,__text) external _au_strtosflags
00007ff80d060899 (__TEXT,__text) non-external _au_teardown
00007ff80d06960d (__TEXT,__text) external _au_to_arg
00007ff80d06943e (__TEXT,__text) external _au_to_arg32
00007ff80d06950e (__TEXT,__text) external _au_to_arg64
00007ff80d06b112 (__TEXT,__text) external _au_to_certificate_hash
00007ff80d069617 (__TEXT,__text) external _au_to_data
00007ff80d06afe4 (__TEXT,__text) external _au_to_exec_args
00007ff80d06b103 (__TEXT,__text) external _au_to_exec_env
00007ff80d0696e7 (__TEXT,__text) external _au_to_exit
00007ff80d069b3b (__TEXT,__text) external _au_to_file
00007ff80d069776 (__TEXT,__text) external _au_to_groups
00007ff80d06b7bc (__TEXT,__text) external _au_to_header
00007ff80d06b716 (__TEXT,__text) external _au_to_header32
00007ff80d06b684 (__TEXT,__text) external _au_to_header32_ex
00007ff80d06b3ff (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80d06b310 (__TEXT,__text) external _au_to_header32_tm
00007ff80d06b769 (__TEXT,__text) external _au_to_header64
00007ff80d06b564 (__TEXT,__text) external _au_to_header64_tm
00007ff80d06b7c6 (__TEXT,__text) external _au_to_header_ex
00007ff80d06b1ca (__TEXT,__text) external _au_to_identity
00007ff80d069822 (__TEXT,__text) external _au_to_in_addr
00007ff80d069875 (__TEXT,__text) external _au_to_in_addr_ex
00007ff80d0698d1 (__TEXT,__text) external _au_to_ip
00007ff80d06992d (__TEXT,__text) external _au_to_ipc
00007ff80d0699a5 (__TEXT,__text) external _au_to_ipc_perm
00007ff80d069a55 (__TEXT,__text) external _au_to_iport
00007ff80d06b83e (__TEXT,__text) external _au_to_kevent
00007ff80d06b121 (__TEXT,__text) external _au_to_krb5_principal
00007ff80d06af5c (__TEXT,__text) external _au_to_me
00007ff80d069788 (__TEXT,__text) external _au_to_newgroups
00007ff80d069aab (__TEXT,__text) external _au_to_opaque
00007ff80d069ccd (__TEXT,__text) external _au_to_path
00007ff80d06a01b (__TEXT,__text) external _au_to_process
00007ff80d069d67 (__TEXT,__text) external _au_to_process32
00007ff80d06a025 (__TEXT,__text) external _au_to_process32_ex
00007ff80d069ea1 (__TEXT,__text) external _au_to_process64
00007ff80d06a213 (__TEXT,__text) external _au_to_process64_ex
00007ff80d06a421 (__TEXT,__text) external _au_to_process_ex
00007ff80d06a544 (__TEXT,__text) external _au_to_return
00007ff80d06a42b (__TEXT,__text) external _au_to_return32
00007ff80d06a4a3 (__TEXT,__text) external _au_to_return64
00007ff80d06a54e (__TEXT,__text) external _au_to_seq
00007ff80d06a88d (__TEXT,__text) external _au_to_sock_inet
00007ff80d06a821 (__TEXT,__text) external _au_to_sock_inet128
00007ff80d06a7b9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80d06a718 (__TEXT,__text) external _au_to_sock_unix
00007ff80d06a5b8 (__TEXT,__text) external _au_to_socket_ex
00007ff80d06aff3 (__TEXT,__text) non-external _au_to_strings
00007ff80d06ab4b (__TEXT,__text) external _au_to_subject
00007ff80d06a897 (__TEXT,__text) external _au_to_subject32
00007ff80d06ab55 (__TEXT,__text) external _au_to_subject32_ex
00007ff80d06a9d1 (__TEXT,__text) external _au_to_subject64
00007ff80d06ad43 (__TEXT,__text) external _au_to_subject64_ex
00007ff80d06af52 (__TEXT,__text) external _au_to_subject_ex
00007ff80d069c33 (__TEXT,__text) external _au_to_text
00007ff80d06b7d0 (__TEXT,__text) external _au_to_trailer
00007ff80d06b130 (__TEXT,__text) external _au_to_zonename
00007ff80d06bb44 (__TEXT,__text) external _au_user_mask
00007ff80d06059c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff84238d338 (__DATA,__bss) non-external _audit_free_q
00007ff80d06ce1f (__TEXT,__text) external _audit_get_car
00007ff80d06cbef (__TEXT,__text) external _audit_get_class
00007ff80d06c126 (__TEXT,__text) external _audit_get_cond
00007ff80d06ce34 (__TEXT,__text) external _audit_get_ctlmode
00007ff80d06ce0a (__TEXT,__text) external _audit_get_cwd
00007ff80d06ce65 (__TEXT,__text) external _audit_get_expire_after
00007ff80d06ccb3 (__TEXT,__text) external _audit_get_fsize
00007ff80d06cb8d (__TEXT,__text) external _audit_get_kaudit
00007ff80d06cc51 (__TEXT,__text) external _audit_get_kmask
00007ff80d06cd46 (__TEXT,__text) external _audit_get_pinfo
00007ff80d06cd77 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80d06c8ef (__TEXT,__text) external _audit_get_policy
00007ff80d06ca24 (__TEXT,__text) external _audit_get_qctrl
00007ff80d06c9bd (__TEXT,__text) external _audit_get_sflags
00007ff80d06c9f8 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80d060408 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80d06cda8 (__TEXT,__text) external _audit_get_stat
00007ff84238d330 (__DATA,__bss) non-external _audit_rec_count
00007ff80d06cb76 (__TEXT,__text) external _audit_send_trigger
00007ff80d06cc20 (__TEXT,__text) external _audit_set_class
00007ff80d06c888 (__TEXT,__text) external _audit_set_cond
00007ff80d06cce4 (__TEXT,__text) external _audit_set_fsize
00007ff80d06cbbe (__TEXT,__text) external _audit_set_kaudit
00007ff80d06cc82 (__TEXT,__text) external _audit_set_kmask
00007ff80d06cd15 (__TEXT,__text) external _audit_set_pmask
00007ff80d06c956 (__TEXT,__text) external _audit_set_policy
00007ff80d06cacd (__TEXT,__text) external _audit_set_qctrl
00007ff80d06c9d4 (__TEXT,__text) external _audit_set_sflags
00007ff80d06ca0e (__TEXT,__text) external _audit_set_sflags_mask
00007ff80d06cdd9 (__TEXT,__text) external _audit_set_stat
