                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023b541648 (__TEXT,__text) external _DRBufferAsResource
000000023b5418ac (__TEXT,__text) external _DRBufferCopyDescriptor
000000023b5417c8 (__TEXT,__text) external _DRBufferCreateUnmanaged
000000023b541724 (__TEXT,__text) external _DRBufferDescriptorCreate
000000023b541778 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
000000023b5417a0 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
000000023b54178c (__TEXT,__text) external _DRBufferDescriptorSetCapacity
000000023b5417b4 (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
000000023b541928 (__TEXT,__text) external _DRBufferGetBytesUsed
000000023b54194c (__TEXT,__text) external _DRBufferRead
000000023b54197c (__TEXT,__text) external _DRBufferReadUsing
000000023b54195c (__TEXT,__text) external _DRBufferReplace
000000023b5419e0 (__TEXT,__text) external _DRBufferReplaceUsing
000000023b54193c (__TEXT,__text) external _DRBufferSetBytesUsed
000000023b54196c (__TEXT,__text) external _DRBufferUpdate
000000023b541cf0 (__TEXT,__text) external _DRClientConnectionConfigCreate
000000023b541d54 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
000000023b541d40 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
000000023b541e80 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
000000023b541e94 (__TEXT,__text) external _DRClientConnectionReceive
000000023b541ea8 (__TEXT,__text) external _DRClientConnectionTearDown
000000023b54214c (__TEXT,__text) external _DRCommitQueueApplyAll
000000023b54208c (__TEXT,__text) external _DRCommitQueueApplyThrough
000000023b5421b4 (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
000000023b5421bc (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
000000023b541f80 (__TEXT,__text) external _DRCommitQueueEnumerate
000000023b542158 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
000000023b54216c (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
000000023b54217c (__TEXT,__text) external _DRCommitQueueTakeFrom
000000023b542198 (__TEXT,__text) external _DRCommitQueueTakeThrough
000000023b540aec (__TEXT,__text) external _DRContextCommit
000000023b540c70 (__TEXT,__text) external _DRContextCommitAddFence
000000023b5404dc (__TEXT,__text) external _DRContextConfigCreate
000000023b540570 (__TEXT,__text) external _DRContextConfigGetMode
000000023b5405c0 (__TEXT,__text) external _DRContextConfigSetDevice
000000023b540548 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
000000023b540598 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
000000023b54055c (__TEXT,__text) external _DRContextConfigSetMode
000000023b540584 (__TEXT,__text) external _DRContextConfigSetReuseStrategy
000000023b5405ac (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
000000023b540654 (__TEXT,__text) external _DRContextCreate
000000023b5409d4 (__TEXT,__text) external _DRContextCreateBuffer
000000023b541d68 (__TEXT,__text) external _DRContextCreateClient
000000023b541f44 (__TEXT,__text) external _DRContextCreateCommitQueue
000000023b5406e0 (__TEXT,__text) external _DRContextCreateMesh
000000023b5407a0 (__TEXT,__text) external _DRContextCreateTexture
000000023b540860 (__TEXT,__text) external _DRContextCreateTextureFromResource
000000023b540bf8 (__TEXT,__text) external _DRContextGetCommitUserPayload
000000023b540a94 (__TEXT,__text) external _DRContextHasOpenCommit
000000023b54105c (__TEXT,__text) external _DRContextSetChangeObserver
000000023b540b4c (__TEXT,__text) external _DRContextSetCommitUserPayload
000000023b540d08 (__TEXT,__text) external _DRContextSetOnCommitBegan
000000023b540eac (__TEXT,__text) external _DRContextSetOnCommitComplete
000000023b53fe70 (__TEXT,__text) external _DRFenceCreate
000000023b53fed0 (__TEXT,__text) external _DRFenceGetLabel
000000023b53fec0 (__TEXT,__text) external _DRFenceInvalidate
000000023b5416e4 (__TEXT,__text) external _DRMaterialAsResource
000000023b5438b8 (__TEXT,__const) external _DRMaxVertexBuffers
000000023b541ab4 (__TEXT,__text) external _DRMemoryResourceCopyBuffer
000000023b541ae8 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
000000023b541a80 (__TEXT,__text) external _DRMemoryResourceCreate
000000023b541c14 (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
000000023b541b14 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
000000023b541b9c (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
000000023b541b8c (__TEXT,__text) external _DRMemoryResourceGetBytes
000000023b541b78 (__TEXT,__text) external _DRMemoryResourceGetLength
000000023b541b64 (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
000000023b5414e4 (__TEXT,__text) external _DRMeshAsResource
000000023b53f104 (__TEXT,__text) external _DRMeshCopyDescriptor
000000023b53f020 (__TEXT,__text) external _DRMeshCreateUnmanaged
000000023b53f798 (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
000000023b53eae0 (__TEXT,__text) external _DRMeshDescriptorCreate
000000023b53eb64 (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
000000023b53eb8c (__TEXT,__text) external _DRMeshDescriptorGetIndexType
000000023b53ebb4 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
000000023b53ed64 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
000000023b53eb14 (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
000000023b53eb3c (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
000000023b53ef88 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
000000023b53ede0 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
000000023b53eb78 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
000000023b53eba0 (__TEXT,__text) external _DRMeshDescriptorSetIndexType
000000023b53ebd0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
000000023b53edb0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
000000023b53eb28 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
000000023b53eb50 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
000000023b53efe0 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
000000023b53ee08 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
000000023b53f3c4 (__TEXT,__text) external _DRMeshGetIndexCapacity
000000023b53f550 (__TEXT,__text) external _DRMeshGetPartAt
000000023b53f3d8 (__TEXT,__text) external _DRMeshGetPartCount
000000023b53f630 (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
000000023b53f3b0 (__TEXT,__text) external _DRMeshGetVertexCapacity
000000023b53faa4 (__TEXT,__text) external _DRMeshReadIndices
000000023b53fcfc (__TEXT,__text) external _DRMeshReadIndicesUsing
000000023b53f834 (__TEXT,__text) external _DRMeshReadVertices
000000023b53fccc (__TEXT,__text) external _DRMeshReadVerticesUsing
000000023b53fb5c (__TEXT,__text) external _DRMeshReplaceIndices
000000023b53fd1c (__TEXT,__text) external _DRMeshReplaceIndicesUsing
000000023b53f914 (__TEXT,__text) external _DRMeshReplaceVertices
000000023b53fcec (__TEXT,__text) external _DRMeshReplaceVerticesUsing
000000023b53f424 (__TEXT,__text) external _DRMeshSetPartAt
000000023b53f410 (__TEXT,__text) external _DRMeshSetPartCount
000000023b53f6bc (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
000000023b53fc14 (__TEXT,__text) external _DRMeshUpdateIndices
000000023b53fd0c (__TEXT,__text) external _DRMeshUpdateIndicesUsing
000000023b53f9dc (__TEXT,__text) external _DRMeshUpdateVertices
000000023b53fcdc (__TEXT,__text) external _DRMeshUpdateVerticesUsing
000000023b53eadc (__TEXT,__text) external _DRRelease
000000023b5415bc (__TEXT,__text) external _DRResourceAsBuffer
000000023b541658 (__TEXT,__text) external _DRResourceAsMaterial
000000023b541458 (__TEXT,__text) external _DRResourceAsMesh
000000023b541520 (__TEXT,__text) external _DRResourceAsTexture
000000023b541444 (__TEXT,__text) external _DRResourceGetClientIdentifier
000000023b541428 (__TEXT,__text) external _DRResourceGetIdentifier
000000023b5416f4 (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
000000023b542734 (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
000000023b542708 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
000000023b5427ac (__TEXT,__text) external _DRResourcesCommitGetId
000000023b5427c0 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
